label,name,cluster_annotation_term_set_label,parent_term_label,parent_term_set_label,term_set_order,term_order,cluster_annotation_term_set_name,color_hex_triplet
CS20230722_CLAS_01,01 IT-ET Glut,CCN20230722_CLAS,,,1,0,class,#FA0087
CS20230722_CLAS_02,02 NP-CT-L6b Glut,CCN20230722_CLAS,,,1,1,class,#61e2a4
CS20230722_CLAS_03,03 OB-CR Glut,CCN20230722_CLAS,,,1,2,class,#D00000
CS20230722_CLAS_04,04 DG-IMN Glut,CCN20230722_CLAS,,,1,3,class,#16f2f2
CS20230722_CLAS_05,05 OB-IMN GABA,CCN20230722_CLAS,,,1,4,class,#1b4332
CS20230722_CLAS_06,06 CTX-CGE GABA,CCN20230722_CLAS,,,1,5,class,#CCFF33
CS20230722_CLAS_07,07 CTX-MGE GABA,CCN20230722_CLAS,,,1,6,class,#f954ee
CS20230722_CLAS_08,08 CNU-MGE GABA,CCN20230722_CLAS,,,1,7,class,#70E000
CS20230722_CLAS_09,09 CNU-LGE GABA,CCN20230722_CLAS,,,1,8,class,#B199FF
CS20230722_CLAS_10,10 LSX GABA,CCN20230722_CLAS,,,1,9,class,#3283FE
CS20230722_CLAS_11,11 CNU-HYa GABA,CCN20230722_CLAS,,,1,10,class,#450099
CS20230722_CLAS_12,12 HY GABA,CCN20230722_CLAS,,,1,11,class,#FF6600
CS20230722_CLAS_13,13 CNU-HYa Glut,CCN20230722_CLAS,,,1,12,class,#90E0EF
CS20230722_CLAS_14,14 HY Glut,CCN20230722_CLAS,,,1,13,class,#AA0DFE
CS20230722_CLAS_15,15 HY Gnrh1 Glut,CCN20230722_CLAS,,,1,14,class,#F28266
CS20230722_CLAS_16,16 HY MM Glut,CCN20230722_CLAS,,,1,15,class,#01d669
CS20230722_CLAS_17,17 MH-LH Glut,CCN20230722_CLAS,,,1,16,class,#FAA307
CS20230722_CLAS_18,18 TH Glut,CCN20230722_CLAS,,,1,17,class,#0D47A1
CS20230722_CLAS_19,19 MB Glut,CCN20230722_CLAS,,,1,18,class,#007200
CS20230722_CLAS_20,20 MB GABA,CCN20230722_CLAS,,,1,19,class,#9EF01A
CS20230722_CLAS_21,21 MB Dopa,CCN20230722_CLAS,,,1,20,class,#38B000
CS20230722_CLAS_22,22 MB-HB Sero,CCN20230722_CLAS,,,1,21,class,#EC4067
CS20230722_CLAS_23,23 P Glut,CCN20230722_CLAS,,,1,22,class,#6b5ca5
CS20230722_CLAS_24,24 MY Glut,CCN20230722_CLAS,,,1,23,class,#F0A0FF
CS20230722_CLAS_25,25 Pineal Glut,CCN20230722_CLAS,,,1,24,class,#086375
CS20230722_CLAS_26,26 P GABA,CCN20230722_CLAS,,,1,25,class,#72195a
CS20230722_CLAS_27,27 MY GABA,CCN20230722_CLAS,,,1,26,class,#0096C7
CS20230722_CLAS_28,28 CB GABA,CCN20230722_CLAS,,,1,27,class,#FFFB46
CS20230722_CLAS_29,29 CB Glut,CCN20230722_CLAS,,,1,28,class,#9D0208
CS20230722_CLAS_30,30 Astro-Epen,CCN20230722_CLAS,,,1,29,class,#594a26
CS20230722_CLAS_31,31 OPC-Oligo,CCN20230722_CLAS,,,1,30,class,#03045E
CS20230722_CLAS_32,32 OEC,CCN20230722_CLAS,,,1,31,class,#996B2E
CS20230722_CLAS_33,33 Vascular,CCN20230722_CLAS,,,1,32,class,#858881
CS20230722_CLAS_34,34 Immune,CCN20230722_CLAS,,,1,33,class,#825f45
