label,name,cluster_annotation_term_set_label,parent_term_label,parent_term_set_label,term_set_order,term_order,cluster_annotation_term_set_name,color_hex_triplet,node,parent_term_name,parent_color_hex_triplet
CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,CCN20230722_SUBC,CS20230722_CLAS_01,CCN20230722_CLAS,2,0,subclass,#64c2fc,1,01 IT-ET Glut,#FA0087
CS20230722_SUBC_002,002 IT EP-CLA Glut,CCN20230722_SUBC,CS20230722_CLAS_01,CCN20230722_CLAS,2,1,subclass,#1F665D,2,01 IT-ET Glut,#FA0087
CS20230722_SUBC_003,003 L5/6 IT TPE-ENT Glut,CCN20230722_SUBC,CS20230722_CLAS_01,CCN20230722_CLAS,2,2,subclass,#C400FF,3,01 IT-ET Glut,#FA0087
CS20230722_SUBC_004,004 L6 IT CTX Glut,CCN20230722_SUBC,CS20230722_CLAS_01,CCN20230722_CLAS,2,3,subclass,#C0FF4D,4,01 IT-ET Glut,#FA0087
CS20230722_SUBC_005,005 L5 IT CTX Glut,CCN20230722_SUBC,CS20230722_CLAS_01,CCN20230722_CLAS,2,4,subclass,#660F38,5,01 IT-ET Glut,#FA0087
CS20230722_SUBC_006,006 L4/5 IT CTX Glut,CCN20230722_SUBC,CS20230722_CLAS_01,CCN20230722_CLAS,2,5,subclass,#3DCCB7,6,01 IT-ET Glut,#FA0087
CS20230722_SUBC_007,007 L2/3 IT CTX Glut,CCN20230722_SUBC,CS20230722_CLAS_01,CCN20230722_CLAS,2,6,subclass,#E9530F,7,01 IT-ET Glut,#FA0087
CS20230722_SUBC_008,008 L2/3 IT ENT Glut,CCN20230722_SUBC,CS20230722_CLAS_01,CCN20230722_CLAS,2,7,subclass,#1F46CC,8,01 IT-ET Glut,#FA0087
CS20230722_SUBC_009,009 L2/3 IT PIR-ENTl Glut,CCN20230722_SUBC,CS20230722_CLAS_01,CCN20230722_CLAS,2,8,subclass,#940099,9,01 IT-ET Glut,#FA0087
CS20230722_SUBC_010,010 IT AON-TT-DP Glut,CCN20230722_SUBC,CS20230722_CLAS_01,CCN20230722_CLAS,2,9,subclass,#FF004B,10,01 IT-ET Glut,#FA0087
